Player,Average Drive Length
Dustin Johnson,318.2
Charlie Beljan,310
Jason Day,309.7
Adam Scott  titleist,309.6
Tony Finau,308.3
J.B. Holmes,308.2
Bubba Watson  titleist,308
Patrick Rodgers,307
Brooks Koepka  titleist,306.6
Gary Woodland,305.5
Ryan Palmer  titleist,304.4
Keegan Bradley,304.2
Jason Kokrak  titleist,304.2
Brendan Steele  titleist,303.4
Andrew Loupe  titleist,302.5
Daniel Berger  titleist,302.1
Jimmy Walker  titleist,301.8
Justin Thomas  titleist,301.2
Charles Howell III  titleist,301.1
Robert Garrigus  titleist,300.8
Justin Rose,300.8
Steven Bowditch  titleist,300.7
Jhonattan Vegas,299.9
Martin Laird,299.7
Sergio Garcia,298.7
Phil Mickelson,298.7
Angel Cabrera  titleist,298.6
Hudson Swafford,298.5
Harris English,298.4
Graham DeLaet  titleist,298.2
Carlos Ortiz  titleist,297.9
Louis Oosthuizen  titleist,297.3
Charl Schwartzel,296.8
Branden Grace,296.5
Lucas Glover  titleist,296.4
Hideki Matsuyama,296.3
Shawn Stefani  titleist,296.1
Scott Piercy  titleist,296
Lee Westwood  titleist,296
Russell Henley,295.9
Martin Flores  titleist,295.6
Trevor Immelman,295.6
Charley Hoffman  titleist,295.5
Rickie Fowler  titleist,295.3
Andres Romero,295.3
Robert Streb  titleist,295.3
Morgan Hoffmann  titleist,295
Paul Casey,294.9
Derek Ernst  titleist,294.6
Sean O'Hair,294.6
Aaron Baddeley  titleist,294.3
Billy Horschel  titleist,294.2
Matt Jones  titleist,294.1
Davis Love III,293.9
Alex Prugh  titleist,293.9
Henrik Stenson  titleist,293.9
Shane Lowry,293.7
Will Wilcox,293.7
Max Homa  titleist,293.5
Geoff Ogilvy  titleist,293.4
Roger Sloan  titleist,293.4
Marc Leishman  titleist,293.1
James Hahn  titleist,293
Nick Watney,292.8
Sam Saunders,292.7
Kevin Chappell,292.6
Retief Goosen,292.6
Jamie Donaldson  titleist,292.4
Andres Gonzales  titleist,292.4
Stewart Cink,292.2
J.J. Henry  titleist,292
Hunter Mahan  titleist,292
Greg Owen,291.8
Scott Stallings  titleist,291.8
Patrick Reed,291.4
Carl Pettersson  titleist,291.1
Jim Herman  titleist,291
Seung-Yul Noh,290.8
Jordan Spieth  titleist,290.8
Byron Smith  titleist,290.6
Tom Hoge  titleist,290.4
Camilo Villegas,290.3
Boo Weekley,290.2
Chesson Hadley  titleist,290
Ryo Ishikawa,289.8
Joost Luiten  titleist,289.7
Webb Simpson  titleist,289.7
Nick Taylor,289.7
Johnson Wagner  titleist,289.6
Carlos Sainz Jr,289.3
Sangmoon Bae,289.2
Jason Gore  titleist,289
David Lingmerth  titleist,289
Ernie Els,288.9
Vijay Singh,288.8
Kevin Streelman  titleist,288.8
Oscar Fraustro  titleist,288.7
Cameron Percy,288.7
Michael Putnam,288.7
Michael Thompson  titleist,288.7
Derek Fathauer  titleist,288.6
Bill Haas  titleist,288.6
Bo Van Pelt  titleist,288.5
Gonzalo Fdez-Castano,288.4
Padraig Harrington  titleist,288.4
Blayne Barber  titleist,288.3
John Senden  titleist,288.3
Scott Pinckney,287.9
Brandt Snedeker,287.6
Rory Sabbatini,287.5
Richard Sterne,287.5
Eric Axley  titleist,287.4
Bill Lunde  titleist,287.4
John Peterson  titleist,287.4
Scott Brown,287.3
Kyle Reifers  titleist,286.9
Andrew Svoboda,286.9
Steve Wheatcroft  titleist,286.9
Erik Compton  titleist,286.6
Jonathan Byrd  titleist,286.4
Brice Garnett  titleist,286.2
Kevin Kisner  titleist,286.1
Tyrone Van Aswegen  titleist,286
Adam Hadwin,285.9
Brian Harman,285.9
Ben Martin  titleist,285.9
Jonathan Randolph,285.7
Nicholas Thompson  titleist,285.7
George McNeill,285.6
Chez Reavie  titleist,285.4
Matt Kuchar,285
Chris Kirk,284.8
Jonas Blixt  titleist,284.7
Ian Poulter  titleist,284.5
Jason Dufner  titleist,284.2
Will MacKenzie  titleist,284.2
John Merrick  titleist,284.1
Zack Sucher,283.9
Russell Knox,283.6
Troy Merritt  titleist,283.5
Brendon de Jonge  titleist,283.2
Matt Every,283.1
Luke Guthrie  titleist,283.1
Chad Campbell  titleist,283
Daniel Summerhays  titleist,283
Jim Renner,282.9
Alex Cejka  titleist,282.8
Jeff Overton  titleist,282.6
Cameron Smith  titleist,282.5
Ricky Barnes,281.9
S.J. Park,281.6
Pat Perez,281.6
Robert Allenby,281.5
Greg Chalmers  titleist,281.4
Spencer Levin  titleist,281.3
Chris Stroud,281.2
Whee Kim  titleist,281.1
Danny Lee,280.9
Fabian Gomez  titleist,280.8
Cameron Tringale  titleist,280.7
Tom Gillis  titleist,280.3
Ryan Moore,280.3
D.A. Points  titleist,280.3
Zach Johnson  titleist,280.1
Graeme McDowell,280
David Hearn  titleist,279.9
Francesco Molinari,279.9
Scott Langley  titleist,279.2
William McGirt,279.2
John Huh  titleist,279
Andrew Putnam,278.4
Roberto Castro  titleist,278.2
Kevin Na  titleist,278
Tim Wilkinson  titleist,278
Mark Hubbard  titleist,277.8
Steven Alker,277.7
Freddie Jacobson,277.4
Jim Furyk,276.8
Bryce Molder  titleist,276.8
Mark Wilson  titleist,276.8
Luke Donald  titleist,276.4
Ken Duke  titleist,276.4
Chad Collins  titleist,276.2
Jason Bohn  titleist,276.1
Brian Stuard  titleist,275.6
Brendon Todd  titleist,275.2
Colt Knost  titleist,275.1
Heath Slocum  titleist,275
Jerry Kelly,274.9
Brian Davis  titleist,274.4
K.J. Choi,274.1
Ryan Armour  titleist,273.1
Zac Blair  titleist,272.7
Jon Curran,272.1
Billy Hurley III,271.3
Justin Leonard  titleist,270.3
David Toms,269.7
Ben Crane  titleist,269.6
Mike Weir  titleist,260